img w h tam cblur asm1blur asm2blur asm3blur cmerge asm1merge asm2merge asm3merge chsl asm1hsl asm2hsl
flat-color.24x24-H0.bmp 24 24 576 44703 25224 24777 24980 69439 12047 9845 12112 144723 211515 188274 
flat-color.32x32-H335.bmp 32 32 1024 85225 45914 44948 46826 139720 23582 19210 23762 500215 642853 432337 
terminator.16x16.bmp 16 16 256 19562 11226 11331 11323 33891 5972 4818 6032 137058 163761 129575 
lena.24x24.bmp 24 24 576 45134 25558 25272 25473 77860 13260 10667 13398 284773 355188 246401 
colores.212x212.bmp 212 212 44944 3990571 2277451 2096888 2289092 6358463 1047532 857753 1066126 22984726 28083793 22491575 
flat-color.208x208-H0.bmp 208 208 43264 3821568 2209409 2001948 2204201 6118848 1011940 827890 1030662 11692942 18289498 17473908 
flat-color.28x28-H0.bmp 28 28 784 63186 35793 34231 35321 106572 17905 14452 18159 212214 330937 315718 
colores.512x512.bmp 512 512 262144 23403090 13014440 12092292 13010771 37176162 6078113 4942163 6218401 131865891 162218597 130054378 
terminator.32x32.bmp 32 32 1024 82856 45983 44983 45942 139780 23565 19111 23788 546686 654078 521836 
flat-color.512x512-H335.bmp 512 512 262144 23333352 13051774 12082518 13035642 37983067 6878114 5722524 7019372 127969308 164816821 110902022 
lena.28x28.bmp 28 28 784 63345 36417 34717 36615 106628 17917 14502 18201 387231 483548 337176 
flat-color.216x216-H0.bmp 216 216 46656 4128163 2265995 2165477 2272826 6600506 1086952 884113 1107778 12584707 19715326 18811112 
flat-color.512x512-H0.bmp 512 512 262144 23293010 13015728 12082691 12995498 37978938 6879438 5728458 7022288 70618216 110768253 105721187 
flat-color.16x16-H335.bmp 16 16 256 19986 11298 11373 11188 33928 6024 4838 6042 125415 160716 108092 
colores.20x20.bmp 20 20 400 31133 18642 17644 18533 53645 9290 7486 9362 213626 257329 203884 
flat-color.20x20-H335.bmp 20 20 400 30789 18827 17615 18725 53639 9297 7476 9346 196467 251184 169318 
lena.32x32.bmp 32 32 1024 83531 46408 45439 46693 139865 23583 19125 23745 504364 631743 438837 
terminator.212x212.bmp 212 212 44944 3990646 2282802 2096761 2288741 6356401 1058360 848926 1070516 24212877 29023139 23079067 
flat-color.204x204-H335.bmp 204 204 41616 3681742 2185064 1941803 2198381 5882386 963473 782813 979234 20337117 26171160 17631002 
flat-color.216x216-H335.bmp 216 216 46656 4131812 2246583 2161637 2270408 6599685 1087731 882972 1107627 22802756 29345789 19760973 
flat-color.200x200-H335.bmp 200 200 40000 3560650 1979247 1855178 2003085 5655225 927786 755506 942560 19548308 25152027 16932487 
lena.16x16.bmp 16 16 256 19627 11119 11377 11198 33909 6007 4833 6056 127032 157394 109550 
lena.216x216.bmp 216 216 46656 4135777 2263763 2161096 2266571 6601800 1087313 880246 1109446 23152652 28926358 20065657 
terminator.512x512.bmp 512 512 262144 23351553 13012521 12105084 13037410 37164583 6059792 4969306 6252390 140999244 169364731 134769886 
terminator.216x216.bmp 216 216 46656 4131231 2343108 2160778 2334422 6602732 1100643 885148 1110918 25108702 30120953 23909486 
lena.212x212.bmp 212 212 44944 1114895 644803 587710 643333 1775498 305825 251195 310092 6201716 7742431 5388511 
lena.200x200.bmp 200 200 40000 3535393 1977602 1855482 1984491 5654118 929486 759956 943150 19838311 24789246 17177142 
flat-color.20x20-H0.bmp 20 20 400 30816 18405 17601 18241 53627 9286 7487 9353 108527 168993 161238 
terminator.24x24.bmp 24 24 576 45353 25142 25552 25342 77978 13261 10688 13456 307963 368663 293675 
terminator.28x28.bmp 28 28 784 62740 35570 34453 36291 106607 17948 14467 18157 418138 499326 397737 
colores.16x16.bmp 16 16 256 19938 11256 11314 11213 33916 6016 4824 6033 134387 161149 129032 
colores.208x208.bmp 208 208 43264 3839563 2085087 2003913 2099737 6116742 1004105 818182 1025505 22149936 27044545 21641721 
colores.32x32.bmp 32 32 1024 82761 62346 47921 62161 139932 23600 19102 23803 560203 667331 527618 
lena.20x20.bmp 20 20 400 30743 18522 17583 18583 53646 9275 7476 9319 198462 246525 171876 
flat-color.204x204-H0.bmp 204 204 41616 3689627 2191637 1945552 2197711 5881211 969240 788947 984284 11223327 17588611 16776765 
terminator.200x200.bmp 200 200 40000 3535100 1967742 1851278 1965545 5648389 930650 762543 945543 21522580 25823170 20498541 
flat-color.32x32-H0.bmp 32 32 1024 82357 45997 45530 46651 139916 23570 19126 23753 276972 432121 412563 
flat-color.28x28-H335.bmp 28 28 784 62716 35772 34441 36392 106557 17978 14483 18165 383026 491900 330721 
colores.204x204.bmp 204 204 41616 3689277 2103758 1932539 2113942 5883958 966467 785870 984953 21288658 25993965 20811326 
lena.208x208.bmp 208 208 43264 3813101 2102433 2002015 2101498 6118943 1005820 818646 1026167 21457078 26804898 18555350 
flat-color.212x212-H335.bmp 212 212 44944 3976027 2282239 2094998 2291322 6354148 1052553 852421 1069981 21939685 28235424 18982691 
flat-color.200x200-H0.bmp 200 200 40000 3540313 1960437 1852812 1963715 5649438 929328 762515 947998 10788627 16902657 16128487 
flat-color.24x24-H335.bmp 24 24 576 45298 25591 25271 25600 77856 13232 10683 13371 281733 361674 243551 
colores.200x200.bmp 200 200 40000 3539395 1981216 1848731 1984722 5655104 930029 756989 945021 20487582 25002927 20026018 
terminator.204x204.bmp 204 204 41616 3698871 2191510 1947182 2198538 5881708 968497 790931 984899 22382020 26855649 21313136 
terminator.20x20.bmp 20 20 400 30946 18567 17686 18434 53656 9293 7489 9367 214311 255887 203375 
colores.216x216.bmp 216 216 46656 4127603 2272621 2164836 2273020 6601376 1090571 886200 1112225 23828852 29124106 23327636 
colores.24x24.bmp 24 24 576 45442 25583 25278 25791 77842 13248 10669 13397 309751 372562 294772 
colores.28x28.bmp 28 28 784 63501 48197 36265 48100 106611 17973 14508 18186 422019 506187 404618 
flat-color.16x16-H0.bmp 16 16 256 19256 11259 11311 11331 33900 5940 4831 6027 69552 108246 103280 
flat-color.208x208-H335.bmp 208 208 43264 3803000 2085523 2004126 2095501 6116226 1005227 820522 1025967 21116593 27182047 18275516 
lena.512x512.bmp 512 512 262144 23298512 13008870 12091236 13008861 37160997 6073302 4942517 6219515 129484022 161790901 112690588 
lena.204x204.bmp 204 204 41616 3697047 2189773 1942814 2198781 5885562 966980 789355 983191 20628268 25771541 17853331 
flat-color.212x212-H0.bmp 212 212 44944 3982289 2282403 2096088 2290787 6358577 1046071 851363 1067229 12126692 18991603 18121658 
