img w h tam cblur asm1blur asm2blur expcblur1 expcblur2 expcblur3 expasm3
flat-color.24x24-H0.bmp 24 24 576 211686 14223 13619 106461 40232 21832 14149 
flat-color.32x32-H335.bmp 32 32 1024 371669 24632 24349 192579 75208 40184 24635 
terminator.16x16.bmp 16 16 256 82958 6010 6003 44694 16992 9321 5884 
lena.24x24.bmp 24 24 576 200508 13350 13295 105948 40160 21560 13638 
colores.212x212.bmp 212 212 44944 17868557 1157703 1107994 8947016 3565267 1845771 1152155 
flat-color.208x208-H0.bmp 208 208 43264 17153914 1167140 1070447 8638102 3428406 1791463 1163944 
flat-color.28x28-H0.bmp 28 28 784 279656 19071 18508 145096 55438 29564 19190 
colores.512x512.bmp 512 512 262144 107569129 6867080 6479806 54942108 21262473 11138667 6879976 
terminator.32x32.bmp 32 32 1024 372304 24643 24416 192435 75409 40709 24930 
flat-color.512x512-H335.bmp 512 512 262144 109418094 6909978 6467987 54954261 21345030 11085153 6870479 
lena.28x28.bmp 28 28 784 279850 19355 18739 143465 55463 29399 19486 
flat-color.216x216-H0.bmp 216 216 46656 18756792 1260221 1150387 9457015 3772544 2013594 1259564 
flat-color.512x512-H0.bmp 512 512 262144 106575020 6867956 6493011 53829477 21300362 11071290 6933272 
flat-color.16x16-H335.bmp 16 16 256 84428 6101 5958 45151 17507 10020 5970 
colores.20x20.bmp 20 20 400 135548 9646 9406 71227 27397 15323 9637 
flat-color.20x20-H335.bmp 20 20 400 135436 9625 9330 71470 27508 15056 9611 
lena.32x32.bmp 32 32 1024 392405 24545 24997 210313 87356 51203 24644 
terminator.212x212.bmp 212 212 44944 17822036 1160764 1110456 8931433 3565801 1851414 1156883 
flat-color.204x204-H335.bmp 204 204 41616 16624823 1114224 1030931 8399424 3361945 1790441 1109414 
flat-color.216x216-H335.bmp 216 216 46656 18510372 1204525 1153234 9353354 3711332 1939395 1218528 
flat-color.200x200-H335.bmp 200 200 40000 16256469 1086694 990990 8133452 3227914 1722608 1075491 
lena.16x16.bmp 16 16 256 83639 6015 5936 44241 16677 9499 6138 
lena.216x216.bmp 216 216 46656 18865252 1205605 1154564 9389317 3731134 1930984 1201378 
terminator.512x512.bmp 512 512 262144 105565024 6903691 6462389 53168624 21189774 11053855 6925586 
terminator.216x216.bmp 216 216 46656 18530841 1229863 1154531 9294887 3704150 1926715 1199156 
lena.212x212.bmp 212 212 44944 17794726 1161048 1110218 8957952 3558419 1849108 1161557 
lena.200x200.bmp 200 200 40000 16053523 1079995 990455 8164520 3231392 1721290 1076580 
flat-color.20x20-H0.bmp 20 20 400 135468 9981 9263 72305 27312 14955 9625 
terminator.24x24.bmp 24 24 576 202990 14214 13564 106630 39942 22347 13689 
terminator.28x28.bmp 28 28 784 280128 19559 18237 145047 55926 30253 19175 
colores.16x16.bmp 16 16 256 83267 5977 5964 44073 16808 9581 5931 
colores.208x208.bmp 208 208 43264 17436088 1176864 1077145 8799223 3493503 1864446 1165928 
colores.32x32.bmp 32 32 1024 390466 24558 24778 209871 81743 48678 24529 
lena.20x20.bmp 20 20 400 142914 10950 10087 80589 27735 15699 10052 
flat-color.204x204-H0.bmp 204 204 41616 16459032 1114052 1029047 8277922 3307616 1716617 1108805 
terminator.200x200.bmp 200 200 40000 15965891 1083321 989968 8093218 3231775 1719992 1071979 
flat-color.32x32-H0.bmp 32 32 1024 370406 24503 24578 191481 75102 40734 24523 
flat-color.28x28-H335.bmp 28 28 784 279422 19439 18334 145245 55532 30142 19485 
colores.204x204.bmp 204 204 41616 16458926 1115440 1030915 8294284 3298430 1713968 1114487 
lena.208x208.bmp 208 208 43264 17364123 1175101 1074936 8782586 3489543 1861746 1166563 
flat-color.212x212-H335.bmp 212 212 44944 17844931 1167570 1109910 8983923 3561992 1848880 1165741 
flat-color.200x200-H0.bmp 200 200 40000 16099300 1089692 991022 8105145 3230665 1721954 1075243 
flat-color.24x24-H335.bmp 24 24 576 202860 13487 13435 104926 39786 22126 13455 
colores.200x200.bmp 200 200 40000 16312043 1077197 992609 8105181 3229101 1717720 1074012 
terminator.204x204.bmp 204 204 41616 16764610 1113609 1032024 8433802 3367486 1785495 1106450 
terminator.20x20.bmp 20 20 400 135512 10031 9269 72313 27257 15045 9639 
colores.216x216.bmp 216 216 46656 18575206 1203930 1153936 9333778 3709032 1952721 1198903 
colores.24x24.bmp 24 24 576 200656 14269 13310 105459 39580 21862 14182 
colores.28x28.bmp 28 28 784 279303 19997 18485 145982 55371 29783 19980 
flat-color.16x16-H0.bmp 16 16 256 85322 6523 6418 45387 17802 10070 6362 
flat-color.208x208-H335.bmp 208 208 43264 17198902 1170568 1074516 8663191 3426789 1780647 1165292 
lena.512x512.bmp 512 512 262144 105970850 6963112 6480903 53391047 21244620 11065962 6906676 
lena.204x204.bmp 204 204 41616 16750017 1113271 1030373 8431626 3400927 1799016 1116362 
flat-color.212x212-H0.bmp 212 212 44944 17964062 1165186 1112429 9053332 3575335 1850119 1157560 
